binary,os_type,language,modules/libraries,third party libraries,primitive,algorithm,crypto_library,key_length,parameters
/bin/Xephyr,unix,C,"['/lib/x86_64-linux-gnu/libepoxy.so.0', '/lib/x86_64-linux-gnu/libudev.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libunwind.so.8', '/lib/x86_64-linux-gnu/libpixman-1.so.0', '/lib/x86_64-linux-gnu/libXfont2.so.2', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libxshmfence.so.1', '/lib/x86_64-linux-gnu/libGL.so.1', '/lib/x86_64-linux-gnu/libXau.so.6', '/lib/x86_64-linux-gnu/libXdmcp.so.6', '/lib/x86_64-linux-gnu/libxcb-shape.so.0', '/lib/x86_64-linux-gnu/libxcb-render-util.so.0', '/lib/x86_64-linux-gnu/libxcb-render.so.0', '/lib/x86_64-linux-gnu/libxcb-util.so.1', '/lib/x86_64-linux-gnu/libxcb-image.so.0', '/lib/x86_64-linux-gnu/libxcb-icccm.so.4', '/lib/x86_64-linux-gnu/libxcb-shm.so.0', '/lib/x86_64-linux-gnu/libxcb-keysyms.so.1', '/lib/x86_64-linux-gnu/libxcb-randr.so.0', '/lib/x86_64-linux-gnu/libxcb-xkb.so.1', '/lib/x86_64-linux-gnu/libxcb-xv.so.0', '/lib/x86_64-linux-gnu/libX11-xcb.so.1', '/lib/x86_64-linux-gnu/libX11.so.6', '/lib/x86_64-linux-gnu/libxcb.so.1', '/lib/x86_64-linux-gnu/libaudit.so.1', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libbz2.so.1.0', '/lib/x86_64-linux-gnu/libfontenc.so.1', '/lib/x86_64-linux-gnu/libfreetype.so.6', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libGLdispatch.so.0', '/lib/x86_64-linux-gnu/libGLX.so.0', '/lib/x86_64-linux-gnu/libbsd.so.0', '/lib/x86_64-linux-gnu/libcap-ng.so.0', '/lib/x86_64-linux-gnu/libpng16.so.16', '/lib/x86_64-linux-gnu/libbrotlidec.so.1', '/lib/x86_64-linux-gnu/libmd.so.0', '/lib/x86_64-linux-gnu/libbrotlicommon.so.1']",[],block-cipher,DES,libgcrypt,56,none
/bin/Xephyr,unix,C,"['/lib/x86_64-linux-gnu/libepoxy.so.0', '/lib/x86_64-linux-gnu/libudev.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libunwind.so.8', '/lib/x86_64-linux-gnu/libpixman-1.so.0', '/lib/x86_64-linux-gnu/libXfont2.so.2', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libxshmfence.so.1', '/lib/x86_64-linux-gnu/libGL.so.1', '/lib/x86_64-linux-gnu/libXau.so.6', '/lib/x86_64-linux-gnu/libXdmcp.so.6', '/lib/x86_64-linux-gnu/libxcb-shape.so.0', '/lib/x86_64-linux-gnu/libxcb-render-util.so.0', '/lib/x86_64-linux-gnu/libxcb-render.so.0', '/lib/x86_64-linux-gnu/libxcb-util.so.1', '/lib/x86_64-linux-gnu/libxcb-image.so.0', '/lib/x86_64-linux-gnu/libxcb-icccm.so.4', '/lib/x86_64-linux-gnu/libxcb-shm.so.0', '/lib/x86_64-linux-gnu/libxcb-keysyms.so.1', '/lib/x86_64-linux-gnu/libxcb-randr.so.0', '/lib/x86_64-linux-gnu/libxcb-xkb.so.1', '/lib/x86_64-linux-gnu/libxcb-xv.so.0', '/lib/x86_64-linux-gnu/libX11-xcb.so.1', '/lib/x86_64-linux-gnu/libX11.so.6', '/lib/x86_64-linux-gnu/libxcb.so.1', '/lib/x86_64-linux-gnu/libaudit.so.1', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libbz2.so.1.0', '/lib/x86_64-linux-gnu/libfontenc.so.1', '/lib/x86_64-linux-gnu/libfreetype.so.6', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libGLdispatch.so.0', '/lib/x86_64-linux-gnu/libGLX.so.0', '/lib/x86_64-linux-gnu/libbsd.so.0', '/lib/x86_64-linux-gnu/libcap-ng.so.0', '/lib/x86_64-linux-gnu/libpng16.so.16', '/lib/x86_64-linux-gnu/libbrotlidec.so.1', '/lib/x86_64-linux-gnu/libmd.so.0', '/lib/x86_64-linux-gnu/libbrotlicommon.so.1']",[],block-cipher,ARIA,libgcrypt,unknown,none
/bin/Xephyr,unix,C,"['/lib/x86_64-linux-gnu/libepoxy.so.0', '/lib/x86_64-linux-gnu/libudev.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libunwind.so.8', '/lib/x86_64-linux-gnu/libpixman-1.so.0', '/lib/x86_64-linux-gnu/libXfont2.so.2', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libxshmfence.so.1', '/lib/x86_64-linux-gnu/libGL.so.1', '/lib/x86_64-linux-gnu/libXau.so.6', '/lib/x86_64-linux-gnu/libXdmcp.so.6', '/lib/x86_64-linux-gnu/libxcb-shape.so.0', '/lib/x86_64-linux-gnu/libxcb-render-util.so.0', '/lib/x86_64-linux-gnu/libxcb-render.so.0', '/lib/x86_64-linux-gnu/libxcb-util.so.1', '/lib/x86_64-linux-gnu/libxcb-image.so.0', '/lib/x86_64-linux-gnu/libxcb-icccm.so.4', '/lib/x86_64-linux-gnu/libxcb-shm.so.0', '/lib/x86_64-linux-gnu/libxcb-keysyms.so.1', '/lib/x86_64-linux-gnu/libxcb-randr.so.0', '/lib/x86_64-linux-gnu/libxcb-xkb.so.1', '/lib/x86_64-linux-gnu/libxcb-xv.so.0', '/lib/x86_64-linux-gnu/libX11-xcb.so.1', '/lib/x86_64-linux-gnu/libX11.so.6', '/lib/x86_64-linux-gnu/libxcb.so.1', '/lib/x86_64-linux-gnu/libaudit.so.1', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libbz2.so.1.0', '/lib/x86_64-linux-gnu/libfontenc.so.1', '/lib/x86_64-linux-gnu/libfreetype.so.6', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libGLdispatch.so.0', '/lib/x86_64-linux-gnu/libGLX.so.0', '/lib/x86_64-linux-gnu/libbsd.so.0', '/lib/x86_64-linux-gnu/libcap-ng.so.0', '/lib/x86_64-linux-gnu/libpng16.so.16', '/lib/x86_64-linux-gnu/libbrotlidec.so.1', '/lib/x86_64-linux-gnu/libmd.so.0', '/lib/x86_64-linux-gnu/libbrotlicommon.so.1']",[],ssl,SSL,libgcrypt,unknown,version=2.0
/bin/Xephyr,unix,C,"['/lib/x86_64-linux-gnu/libepoxy.so.0', '/lib/x86_64-linux-gnu/libudev.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libunwind.so.8', '/lib/x86_64-linux-gnu/libpixman-1.so.0', '/lib/x86_64-linux-gnu/libXfont2.so.2', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libxshmfence.so.1', '/lib/x86_64-linux-gnu/libGL.so.1', '/lib/x86_64-linux-gnu/libXau.so.6', '/lib/x86_64-linux-gnu/libXdmcp.so.6', '/lib/x86_64-linux-gnu/libxcb-shape.so.0', '/lib/x86_64-linux-gnu/libxcb-render-util.so.0', '/lib/x86_64-linux-gnu/libxcb-render.so.0', '/lib/x86_64-linux-gnu/libxcb-util.so.1', '/lib/x86_64-linux-gnu/libxcb-image.so.0', '/lib/x86_64-linux-gnu/libxcb-icccm.so.4', '/lib/x86_64-linux-gnu/libxcb-shm.so.0', '/lib/x86_64-linux-gnu/libxcb-keysyms.so.1', '/lib/x86_64-linux-gnu/libxcb-randr.so.0', '/lib/x86_64-linux-gnu/libxcb-xkb.so.1', '/lib/x86_64-linux-gnu/libxcb-xv.so.0', '/lib/x86_64-linux-gnu/libX11-xcb.so.1', '/lib/x86_64-linux-gnu/libX11.so.6', '/lib/x86_64-linux-gnu/libxcb.so.1', '/lib/x86_64-linux-gnu/libaudit.so.1', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libbz2.so.1.0', '/lib/x86_64-linux-gnu/libfontenc.so.1', '/lib/x86_64-linux-gnu/libfreetype.so.6', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libGLdispatch.so.0', '/lib/x86_64-linux-gnu/libGLX.so.0', '/lib/x86_64-linux-gnu/libbsd.so.0', '/lib/x86_64-linux-gnu/libcap-ng.so.0', '/lib/x86_64-linux-gnu/libpng16.so.16', '/lib/x86_64-linux-gnu/libbrotlidec.so.1', '/lib/x86_64-linux-gnu/libmd.so.0', '/lib/x86_64-linux-gnu/libbrotlicommon.so.1']",[],block-cipher,IDEA,libgcrypt,unknown,none
/bin/Xwayland,unix,C,"['/lib/x86_64-linux-gnu/libpixman-1.so.0', '/lib/x86_64-linux-gnu/libXfont2.so.2', '/lib/x86_64-linux-gnu/libXdmcp.so.6', '/lib/x86_64-linux-gnu/libwayland-client.so.0', '/lib/x86_64-linux-gnu/libxcvt.so.0', '/lib/x86_64-linux-gnu/libdrm.so.2', '/lib/x86_64-linux-gnu/libepoxy.so.0', '/lib/x86_64-linux-gnu/libgbm.so.1', '/lib/x86_64-linux-gnu/libdecor-0.so.0', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libxshmfence.so.1', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libtirpc.so.3', '/lib/x86_64-linux-gnu/libXau.so.6', '/lib/x86_64-linux-gnu/libGL.so.1', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libbz2.so.1.0', '/lib/x86_64-linux-gnu/libfontenc.so.1', '/lib/x86_64-linux-gnu/libfreetype.so.6', '/lib/x86_64-linux-gnu/libbsd.so.0', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libexpat.so.1', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libgssapi_krb5.so.2', '/lib/x86_64-linux-gnu/libGLdispatch.so.0', '/lib/x86_64-linux-gnu/libGLX.so.0', '/lib/x86_64-linux-gnu/libpng16.so.16', '/lib/x86_64-linux-gnu/libbrotlidec.so.1', '/lib/x86_64-linux-gnu/libmd.so.0', '/lib/x86_64-linux-gnu/libkrb5.so.3', '/lib/x86_64-linux-gnu/libk5crypto.so.3', '/lib/x86_64-linux-gnu/libcom_err.so.2', '/lib/x86_64-linux-gnu/libkrb5support.so.0', '/lib/x86_64-linux-gnu/libX11.so.6', '/lib/x86_64-linux-gnu/libbrotlicommon.so.1', '/lib/x86_64-linux-gnu/libkeyutils.so.1', '/lib/x86_64-linux-gnu/libresolv.so.2', '/lib/x86_64-linux-gnu/libxcb.so.1']",[],block-cipher,DES,libgcrypt,56,none
/bin/Xwayland,unix,C,"['/lib/x86_64-linux-gnu/libpixman-1.so.0', '/lib/x86_64-linux-gnu/libXfont2.so.2', '/lib/x86_64-linux-gnu/libXdmcp.so.6', '/lib/x86_64-linux-gnu/libwayland-client.so.0', '/lib/x86_64-linux-gnu/libxcvt.so.0', '/lib/x86_64-linux-gnu/libdrm.so.2', '/lib/x86_64-linux-gnu/libepoxy.so.0', '/lib/x86_64-linux-gnu/libgbm.so.1', '/lib/x86_64-linux-gnu/libdecor-0.so.0', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libxshmfence.so.1', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libtirpc.so.3', '/lib/x86_64-linux-gnu/libXau.so.6', '/lib/x86_64-linux-gnu/libGL.so.1', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libbz2.so.1.0', '/lib/x86_64-linux-gnu/libfontenc.so.1', '/lib/x86_64-linux-gnu/libfreetype.so.6', '/lib/x86_64-linux-gnu/libbsd.so.0', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libexpat.so.1', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libgssapi_krb5.so.2', '/lib/x86_64-linux-gnu/libGLdispatch.so.0', '/lib/x86_64-linux-gnu/libGLX.so.0', '/lib/x86_64-linux-gnu/libpng16.so.16', '/lib/x86_64-linux-gnu/libbrotlidec.so.1', '/lib/x86_64-linux-gnu/libmd.so.0', '/lib/x86_64-linux-gnu/libkrb5.so.3', '/lib/x86_64-linux-gnu/libk5crypto.so.3', '/lib/x86_64-linux-gnu/libcom_err.so.2', '/lib/x86_64-linux-gnu/libkrb5support.so.0', '/lib/x86_64-linux-gnu/libX11.so.6', '/lib/x86_64-linux-gnu/libbrotlicommon.so.1', '/lib/x86_64-linux-gnu/libkeyutils.so.1', '/lib/x86_64-linux-gnu/libresolv.so.2', '/lib/x86_64-linux-gnu/libxcb.so.1']",[],block-cipher,ARIA,libgcrypt,unknown,none
/bin/Xwayland,unix,C,"['/lib/x86_64-linux-gnu/libpixman-1.so.0', '/lib/x86_64-linux-gnu/libXfont2.so.2', '/lib/x86_64-linux-gnu/libXdmcp.so.6', '/lib/x86_64-linux-gnu/libwayland-client.so.0', '/lib/x86_64-linux-gnu/libxcvt.so.0', '/lib/x86_64-linux-gnu/libdrm.so.2', '/lib/x86_64-linux-gnu/libepoxy.so.0', '/lib/x86_64-linux-gnu/libgbm.so.1', '/lib/x86_64-linux-gnu/libdecor-0.so.0', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libxshmfence.so.1', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libtirpc.so.3', '/lib/x86_64-linux-gnu/libXau.so.6', '/lib/x86_64-linux-gnu/libGL.so.1', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libbz2.so.1.0', '/lib/x86_64-linux-gnu/libfontenc.so.1', '/lib/x86_64-linux-gnu/libfreetype.so.6', '/lib/x86_64-linux-gnu/libbsd.so.0', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libexpat.so.1', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libgssapi_krb5.so.2', '/lib/x86_64-linux-gnu/libGLdispatch.so.0', '/lib/x86_64-linux-gnu/libGLX.so.0', '/lib/x86_64-linux-gnu/libpng16.so.16', '/lib/x86_64-linux-gnu/libbrotlidec.so.1', '/lib/x86_64-linux-gnu/libmd.so.0', '/lib/x86_64-linux-gnu/libkrb5.so.3', '/lib/x86_64-linux-gnu/libk5crypto.so.3', '/lib/x86_64-linux-gnu/libcom_err.so.2', '/lib/x86_64-linux-gnu/libkrb5support.so.0', '/lib/x86_64-linux-gnu/libX11.so.6', '/lib/x86_64-linux-gnu/libbrotlicommon.so.1', '/lib/x86_64-linux-gnu/libkeyutils.so.1', '/lib/x86_64-linux-gnu/libresolv.so.2', '/lib/x86_64-linux-gnu/libxcb.so.1']",[],ssl,SSL,libgcrypt,unknown,version=2.0
/bin/airscan-discover,unix,C,"['/lib/x86_64-linux-gnu/libavahi-common.so.3', '/lib/x86_64-linux-gnu/libavahi-client.so.3', '/lib/x86_64-linux-gnu/libxml2.so.2', '/lib/x86_64-linux-gnu/libgnutls.so.30', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libdbus-1.so.3', '/lib/x86_64-linux-gnu/libicuuc.so.74', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libidn2.so.0', '/lib/x86_64-linux-gnu/libunistring.so.5', '/lib/x86_64-linux-gnu/libtasn1.so.6', '/lib/x86_64-linux-gnu/libnettle.so.8', '/lib/x86_64-linux-gnu/libhogweed.so.6', '/lib/x86_64-linux-gnu/libgmp.so.10', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libicudata.so.74', '/lib/x86_64-linux-gnu/libstdc++.so.6', '/lib/x86_64-linux-gnu/libgcc_s.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libgpg-error.so.0']",[],block-cipher,DES,"libgcrypt,nettle",56,none
/bin/airscan-discover,unix,C,"['/lib/x86_64-linux-gnu/libavahi-common.so.3', '/lib/x86_64-linux-gnu/libavahi-client.so.3', '/lib/x86_64-linux-gnu/libxml2.so.2', '/lib/x86_64-linux-gnu/libgnutls.so.30', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libdbus-1.so.3', '/lib/x86_64-linux-gnu/libicuuc.so.74', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libidn2.so.0', '/lib/x86_64-linux-gnu/libunistring.so.5', '/lib/x86_64-linux-gnu/libtasn1.so.6', '/lib/x86_64-linux-gnu/libnettle.so.8', '/lib/x86_64-linux-gnu/libhogweed.so.6', '/lib/x86_64-linux-gnu/libgmp.so.10', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libicudata.so.74', '/lib/x86_64-linux-gnu/libstdc++.so.6', '/lib/x86_64-linux-gnu/libgcc_s.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libgpg-error.so.0']",[],block-cipher,ARIA,"libgcrypt,nettle",unknown,none
/bin/airscan-discover,unix,C,"['/lib/x86_64-linux-gnu/libavahi-common.so.3', '/lib/x86_64-linux-gnu/libavahi-client.so.3', '/lib/x86_64-linux-gnu/libxml2.so.2', '/lib/x86_64-linux-gnu/libgnutls.so.30', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libdbus-1.so.3', '/lib/x86_64-linux-gnu/libicuuc.so.74', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libidn2.so.0', '/lib/x86_64-linux-gnu/libunistring.so.5', '/lib/x86_64-linux-gnu/libtasn1.so.6', '/lib/x86_64-linux-gnu/libnettle.so.8', '/lib/x86_64-linux-gnu/libhogweed.so.6', '/lib/x86_64-linux-gnu/libgmp.so.10', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libicudata.so.74', '/lib/x86_64-linux-gnu/libstdc++.so.6', '/lib/x86_64-linux-gnu/libgcc_s.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libgpg-error.so.0']",[],tls,TLS,"libgcrypt,nettle",unknown,version=1.0
