script_path,language,algorithm,primitive,function_pattern,key_size
/home/jabba/Desktop/CBOM-scanning/scripts/5CertKeys.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/scripts/5CertKeys.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/scripts/5CertKeys.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/scripts/5CertKeys.py,py,SHA,hash,hashlib\.sha(1|224|256|384|512),256
/home/jabba/Desktop/CBOM-scanning/scripts/5CertKeys.py,py,SHA,hash,hashlib\.sha(1|224|256|384|512),256
/home/jabba/Desktop/CBOM-scanning/scripts/5CertKeys.py,py,SHA,hash,hashlib\.sha(1|224|256|384|512),256
/home/jabba/Desktop/CBOM-scanning/scripts/5CertKeys.py,py,SHA,hash,hashlib\.sha(1|224|256|384|512),256
/home/jabba/Desktop/CBOM-scanning/scripts/3Libraries.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/scripts/3Libraries.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/scripts/6ExeCodes.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/scripts/6ExeCodes.py,py,ECC,public-key,secp256r1,unknown
/home/jabba/Desktop/CBOM-scanning/scripts/6ExeCodes.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/scripts/read_cert.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/scripts/read_cert.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/scripts/read_cert.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/scripts/read_cert.py,py,SHA,hash,hashlib\.sha(1|224|256|384|512),256
/home/jabba/Desktop/CBOM-scanning/scripts/read_cert.py,py,SHA,hash,hashlib\.sha(1|224|256|384|512),256
