library,os_type,library_type,crypto_dependency,algorithm,primitive,key_size,detection_method
/usr/lib/aspell/x86_64-linux-gnu/context-filter.la,unix,libtool,not-applicable,unknown,unknown,unknown,dependency-only
/usr/lib/aspell/x86_64-linux-gnu/context-filter.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/aspell/x86_64-linux-gnu/ddtp-filter.la,unix,libtool,not-applicable,unknown,unknown,unknown,dependency-only
/usr/lib/aspell/x86_64-linux-gnu/ddtp-filter.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/aspell/x86_64-linux-gnu/debctrl-filter.la,unix,libtool,not-applicable,unknown,unknown,unknown,dependency-only
/usr/lib/aspell/x86_64-linux-gnu/debctrl-filter.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/aspell/x86_64-linux-gnu/email-filter.la,unix,libtool,not-applicable,unknown,unknown,unknown,dependency-only
/usr/lib/aspell/x86_64-linux-gnu/email-filter.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/aspell/x86_64-linux-gnu/markdown-filter.la,unix,libtool,not-applicable,unknown,unknown,unknown,dependency-only
/usr/lib/aspell/x86_64-linux-gnu/markdown-filter.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/aspell/x86_64-linux-gnu/nroff-filter.la,unix,libtool,not-applicable,unknown,unknown,unknown,dependency-only
/usr/lib/aspell/x86_64-linux-gnu/nroff-filter.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/aspell/x86_64-linux-gnu/sgml-filter.la,unix,libtool,not-applicable,unknown,unknown,unknown,dependency-only
/usr/lib/aspell/x86_64-linux-gnu/sgml-filter.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/aspell/x86_64-linux-gnu/tex-filter.la,unix,libtool,not-applicable,unknown,unknown,unknown,dependency-only
/usr/lib/aspell/x86_64-linux-gnu/tex-filter.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/aspell/x86_64-linux-gnu/texinfo-filter.la,unix,libtool,not-applicable,unknown,unknown,unknown,dependency-only
/usr/lib/aspell/x86_64-linux-gnu/texinfo-filter.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybal.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybat.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybba.so,unix,shared,libgcrypt,unknown,unknown,unknown,dependency-only
/usr/lib/brltty/libbrlttybbc.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybbd.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybbg.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybbl.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybbm.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybbn.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybcb.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybce.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybcn.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybdp.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybec.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybeu.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybfa.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybfs.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybhd.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybhm.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybht.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybhw.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybic.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybir.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttyblt.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybmb.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybmd.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybmm.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybmn.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybmt.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybnp.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybpg.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybpm.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybsk.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybtn.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybts.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybtt.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybvd.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybvo.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybvr.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttybvs.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttysal.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttysbl.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttyscb.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttysfv.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttysgs.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttysxs.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttyxem.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttyxfv.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttyxlx.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/brltty/libbrlttyxsc.so,unix,shared,none,unknown,unknown,unknown,static-string
